n,score,ratio,iterations,moves
1,0,"0.00",500,"ct"
2,1,"0.50",1250,"ccrtt"
3,3,"1.00",2250,"ccrcrtrtt"
4,5,"1.25",3250,"ccrcrcrtrrttt"
5,7,"1.40",4250,"cccrcrrcrtrtrrttt"
6,10,"1.67",5500,"ccrccrrcrtrrcrtrtrrttt"
7,10,"1.43",6000,"ctcccrcrrcrtrtrrcrtrtrtt"
8,14,"1.75",7500,"ccccrrccrrrcrtrtrrcrtrrttrrttt"
9,18,"2.00",9000,"ccccrrcrrcrcrtrrcrtrrrcrtrrttrtrrttt"
10,19,"1.90",9750,"ctccrccrrcrcrtrrcrrcrtrtrrrcrtrtrrttrtt"
11,23,"2.09",11250,"cccrccrcrrcrcrcrrcrtrtrrrrrcrtrtrrrtttrtrtrtt"
12,23,"1.92",11750,"ccrcccrcrcrrcrrccrrcrtrrrcrtrtrrrtrrrtttttrrttt"
13,28,"2.15",13500,"ccrcrccrrtrcrccrrrtcrcrtrrrrcrcrtrrrcrtrtrrtrrttrttrtt"
14,33,"2.36",15250,"cccrcrrccrrtrcrcrcrcrtrrrrcrrrcrcrtrrtrtrrrcrtrtrrtrtrttrtrtt"
15,30,"2.00",15000,"cccrcrrcrtccrrcrrcrcrtrrcrrcrcrcrrcrtrtrrrrtrrrrtrtttrtttttt"
16,33,"2.06",16250,"ctccrccrcrrccrrcrtrcrrcrrcrcrtrrtrcrrrrcrcrtrrtrtrrrrttttrrtrtttt"
17,38,"2.24",18000,"ccrcrccrrccrrtcrrrrccrrcrccrrtcrrrrcrcrtrrrtrrcrtrtrrrtttrrrttrtrrtttrtt"
18,38,"2.11",18500,"ctcccrccccrrcrrcrrrcccrrrcrtrrcrcrtrrrrcrtrtrrrtrrcrtrrttrtrtrrrrtrtttrttt"
19,44,"2.32",20500,"ccrcrcccrcccrrrrrcrtccrrrrrcrcrtrrcrtrrtrrcrtrrrcrcrtrrtrrcrtrrttrrrrtrttrrttttrtt"
20,50,"2.50",22500,"ccrccrrcrccrcrcrrcrtrrcrrrccrrtrcrtrrrcrcrtcrrrcrtrrrrcrtrrrrrcrtrtrtrtrtrrtrrrtttrrtrtttt"
21,42,"2.00",21000,"cccrcrrtccrcrcccrrrrccrccrrrcrccrccrrrtrrrcrrrcrtrtrtrrrrrtttrtrttrrrttrttrtrrttrttt"
22,50,"2.27",23500,"cccrrccrrcrtcrrrcccrrcrcrrtrcrrcrcrcrcrtrrcrcrrcrrtrrrrcrtrtrrcrtrtrrrrrtrttttrtrrtrrrtrtttttt"
23,53,"2.30",24750,"ccccrcrccrcrccrccrcrrcrrrcrrcrrcrcrtrrtrrcrtrrrrrcrccrrtrrtrtrrrrcrtrtrtrrrrttrrttttrrtrrtrtttrtrtt"
24,58,"2.42",26500,"cccrrcrcrccrcrcrrcrtrcrrrcrccrrrtrcrtrccrrtrrrrtrtrrccrrrrcrrccrrcrtrrtrrtrtrrcrtrrtrtrrttrtrttrrttrtrrttt"
25,64,"2.56",28500,"ccccrccrcrcrrrcrrcrccrcrcrrtrrcrcrccrrcrtrrrrcrrrtrrcrtrcrtrrrrcrrcrtrtrrtrtrrtrrrtrrrcrtrtrtrtrrtrtrrtttrtrrttrtt"
26,62,"2.38",28500,"ccrcccrccrrrcccrcrccrrrcrrcrrtcrrtcrcrcrtrrrrcrcrrrtrrcrcrtrrtrcrrcrtrtrrrrrtrrrcrtrtrtrrttrtrrrrtrtrtrttttrrttrtt"
27,63,"2.33",29250,"ccrccrcrcrccrrcrrcrcrtrcccrcrrrcrrccrrrttrrcrrcrcrrrrcrcrcrccrrtrrrrtrtrtrrrrcrtrtrrrtrrrrttrtrrttttrtttrtrtrtrtrtrtt"
28,62,"2.21",29500,"ccrtccrcrrccrrtccrrrtrcrrcccrrrtrcrccrccrrrtrrrrcrtrrcrccrrccrcrrrccrrtrtrrrrrcrtrtrrrtrrtrttrtrrttrtttrtrrttrrrtttrtt"
29,69,"2.38",31750,"ccrcrcccrcrrcrrtcrrcrrtcrtrccrrrtrrrcrtrccrcrrrrcrtrtrcrtrrcrrrtrcrtrccrrrcrccrrcrrcrtrtrrrrrcrtrtrrrrtrrrrtttrttttrttrtrrttrtt"
30,65,"2.17",31250,"ccccrrccrccrrcrrrttrcccrcrrrccccrrrrtcrcrrcrrrcrtrcrtrccrcrrrrcrrcrrcrcrtrrtrrrcrtrtrrrtrrrrtrrtttrrrtrtrtttttrrttrrttttrtrtt"
31,70,"2.26",33000,"cccrcccrrrcrccrcrrrcrcrtrrccrrcrccrcrcccrcrrcrrcrrccrrtrrrrcrrrrcrrcrcrtrrtrrrcrtrrttrrtrrrtttrrrttrrttrtrrrrrtttrrtrrtttttrtttrtrtt"
32,72,"2.25",34000,"cccrcrrcccrrrtcrcrccccrrrrrtrrcrtrcrtcrrrcrtrrrrcccrrrrtccrcrcrrcrrttrrrcrtrrtrcrrcrccrrtrrcrrcrtrrttrrrrrrtrtttrrrtrttrrrrtttttttrtrttt"
33,78,"2.36",36000,"cccrcrcrcrrcrccrrcrtcrccrrcrrrrtrccrrrcrrrcrcrccrrtcrrcrrrcrtcrcrrcrrtcrrrcrtrrrcrtrrcrcrtrrrrcrtrtrrrrttrtttrrrrttrrtrrrrtrrtrrttttrrtttttttrtt"
34,67,"1.97",33750,"ccrccrcccrrrccrrccrrccccrrccrccrcrcrcrcrrrrccrcrcrccrrcrrcrrrcrcrtrrrcrtrtrrrrrrttrtrttrttrttrrrtrrtrttrrttrrrrrttttttrrrrrttttrttttrtt"
35,90,"2.57",40000,"ccrcrccrcrrccrrcrcrccrcrrcrtrcrrrrrcrrccrrrcrccrrtrrtccrcrrrrtrrrcrcrcrrcrcrcrtrrcrrtrrrrtrcrrcrrcrtrtrrrtrtrrrrcrtrtrtrtrtrrrrtrrttrrtrttrrtttrtrtrtrrtrttttrtt"
36,85,"2.36",39250,"cccccrrrcccrccccrcrrccrrrcrcrrccrrcrrrrtcrcrtrrcrrtrccrrtrrccrccrrrtrtrrcrrrtrrcrrrcrcrtrrtrrrrcrcrtrrrrtrrcrtrtrtrrttrrtrtrrrrttrtrrttrrtrrttrrttrttttrttrtt"
