n,score,ratio,iterations,moves
1,0,"0.00",100000,"ct"
2,1,"0.50",100000,"ccrtt"
3,3,"1.00",100000,"ccrcrtrtt"
4,5,"1.25",100000,"ccrcrcrtrrttt"
5,8,"1.60",100000,"ccrcrcrtrrcrtrtrtt"
6,11,"1.83",100000,"ccrcrcrcrtrrrcrtrtrtrtt"
7,14,"2.00",100000,"ccrcrcrcrcrtrrrrcrtrtrtrtrtt"
8,17,"2.12",100000,"ccrcrcrcrcrcrtrrrrrcrtrtrtrtrtrtt"
9,19,"2.11",100000,"ccrccrrcrcrcrtrrrrcrtrtrrcrtrtrrtrttt"
10,21,"2.10",100000,"cccrcrcrrcrccrrcrtrrrtrrrcrtrtrtrtrtrrttt"
11,23,"2.09",100000,"ccrcrccrrcrcrcrtrrrrrcrcrcrtrrrtrtrrttrtrtttt"
12,25,"2.08",100000,"ccrccrrcrcrcrcrtrrcrrccrrrrcrtrtrrttrrtrrtrtttrtt"
13,28,"2.15",100000,"ccccrcrrrcrcrccrrcrtrrrrtrcrtrrrcrcrtrrtrtrrtrtrrttttt"
14,30,"2.14",100000,"ccrccrrcrtrrcrcrtcrrrccrrcrtcrcrrrrrcrtrtrtrrtrttrrttrrttt"
15,32,"2.13",100000,"ccrcrcrcrccrrccrrcrccrcrrtrrrrrcrrcrrttrtrrtrtrrttrrttrtrrtttt"
16,36,"2.25",100000,"ccrcrcrcrcrtrrrcrrcrtrccrrcrcrtrrrrccrrrcrtrcrrtrttrrrtrtrrttrttrttt"
17,37,"2.18",100000,"ccrcrccrcrccrrrcrtrrccrcrrccrrrtcrtrrrtrcrrrrcrtrtrtrrttrrtrrrtttrrtttt"
18,41,"2.28",100000,"ccccrrcrcrcrrccrrcrcrccrrtrrrcrrccrrcrtrrrrrrcrtrrttrtrtrtrrrrttrtrtrtttrrttt"
19,42,"2.21",100000,"ccrcrcrtrcrcrrcrtcrcrrcrtcrrrcrcrccrrcrrrtcrtrtrcrrrrrcrtrrrrtttrttrtrtrrttrrttt"
20,45,"2.25",100000,"ccrccrcrccrcrrrcrtrcrcrrcrtrcrcrtrrcrrcrrrcrrcrcrrrcrtrtrtrrrrrtttrrtrtrrtrrtrttttttt"
21,47,"2.24",100000,"cccrcrrcrcrcrtrcrrcrrcrtrcrrccrrrccrrtcrrtrrtccrrrcrcrrrrcrtrrrtttrtrtrrrtrrrttrrtttrtttt"
22,49,"2.23",100000,"cccccrcrcrccrrcrrrrcrcrtrrtcrrcrtrrcrcrcrtcrrrrrcrrcrrrcrcrrttrrtrtrrrttrrtrrrrttttrtrtrttttt"
23,53,"2.30",100000,"cccrrccrcrcrrcrtrrcrtrcrcrcrrcrtcrrcrcrtcrrcrrrrrrrccrrrrcrcrcrrttrrrtrtrrtrtrtrtrtrrttrrtrtttrtttt"
24,54,"2.25",100000,"ccrcccrrcrcrcrcrrcrcrtrcccrcrrrrrcrcrtrrcrtrrrrrrcrrcrtcrccrrrcrrttrrrtrtrtrtrrrttrtrrtttrrttttrrttrtt"
