n,score,ratio,iterations,moves
1,0,"0.00",3,"ct"
2,1,"0.50",6,"ccrtt"
3,3,"1.00",18,"ccrcrtrtt"
4,5,"1.25",32,"cccrrcrtrtrtt"
5,8,"1.60",122,"ccrcrcrtrrcrtrtrtt"
6,11,"1.83",377,"ccrcrcrcrtrrrcrtrtrtrtt"
7,14,"2.00",909,"ccrcrcrcrcrtrrrrcrtrtrtrtrtt"
8,17,"2.12",3421,"ccrcrcrcrcrcrtrrrrrcrtrtrtrtrtrtt"
9,20,"2.22",13132,"ccrcrcrcrcrcrcrtrrrrrrcrtrtrtrtrtrtrtt"
10,23,"2.30",44457,"ccrcrcrcrcrcrcrcrtrrrrrrrcrtrtrtrtrtrtrtrtt"
11,26,"2.36",124910,"ccrcrcrcrcrcrcrcrcrtrrrrrrrrcrtrtrtrtrtrtrtrtrtt"
12,29,"2.42",363712,"ccrcrcrcrtrrrcrcrtrrcrtrrcrcrtrrrcrtrtrrrcrtrtrtrrttt"
13,33,"2.54",1492030,"ccrcrcrcrcrtrrrrcrcrtrrcrtrrcrtrrcrtrrcrtrtrrrrcrtrtrtrtrtt"
14,36,"2.57",5888842,"ccrcrcrccrrcrtrrrrcrcrtrrcrtrrcrtrrcrtrrrcrtrtrtrrrrcrtrtrtrtrtt"
15,40,"2.67",20350228,"ccrcrcrcrcrcrtrrrrrcrcrtrrcrtrrcrtrrcrtrrcrtrrcrtrtrrrrrcrtrtrtrtrtrtt"
16,43,"2.69",53930028,"ccrccrrcrcrcrcrtrrrrrcrcrtrrcrtrrrcrtrtrrcrtrrcrtrrcrtrtrrrrrcrtrtrtrtrtrtt"
