n,score,ratio,iteration,moves
3,1,"0.33",9,"0&0 1&0 r0 t0 t0"
4,3,"0.75",34,"0&0 2&0 r1 1&0 r0 t0 r0 t0 t0"
5,5,"1.00",56,"0&0 3&0 r2 2&0 r1 1&0 r0 t0 r0 r0 t0 t0 t0"
6,8,"1.33",255,"0&0 4&0 r3 3&0 r2 2&0 r1 t1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 t0"
7,11,"1.57",734,"0&0 5&0 r4 4&0 r3 3&0 r2 2&0 r1 t1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
8,14,"1.75",3021,"0&0 6&0 r5 5&0 r4 4&0 r3 3&0 r2 2&0 r1 t1 r1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
9,17,"1.89",10000,"0&0 7&0 r6 6&0 r5 5&0 r4 4&0 r3 3&0 r2 2&0 r1 t1 r1 r1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
10,20,"2.00",46392,"0&0 8&0 r7 7&0 r6 6&0 r5 5&0 r4 4&0 r3 3&0 r2 2&0 r1 t1 r1 r1 r1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
11,23,"2.09",147363,"0&0 9&0 r8 8&0 r7 7&0 r6 6&0 r5 5&0 r4 4&0 r3 3&0 r2 2&0 r1 t1 r1 r1 r1 r1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
12,26,"2.17",604720,"0&0 10&0 r9 9&0 r8 8&0 r7 7&0 r6 6&0 r5 5&0 r4 4&0 r3 3&0 r2 2&0 r1 t1 r1 r1 r1 r1 r1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
13,29,"2.23",1704611,"0&0 11&0 r10 10&0 r9 9&0 8&0 r7 r7 7&0 r6 t6 r6 r6 r6 6&0 r5 5&0 r4 t4 r4 r4 4&0 r3 t3 r3 r3 3&0 r2 t2 r2 r2 r2 2&0 r1 t1 r1 t1 r1 t1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
14,33,"2.36",7140864,"0&0 12&0 r11 11&0 r10 10&0 r9 9&0 r8 8&0 r7 t7 r7 r7 r7 r7 7&0 r6 6&0 r5 t5 r5 r5 5&0 r4 t4 r4 r4 4&0 r3 t3 r3 r3 3&0 r2 t2 r2 r2 2&0 r1 t1 r1 t1 r1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
15,36,"2.40",27682345,"0&0 13&0 12&0 r11 r11 11&0 r10 10&0 r9 9&0 r8 8&0 r7 t7 r7 r7 r7 r7 7&0 r6 6&0 r5 t5 r5 r5 r5 5&0 r4 t4 r4 t4 r4 r4 4&0 r3 t3 r3 r3 3&0 r2 t2 r2 r2 2&0 r1 t1 r1 t1 r1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
16,40,"2.50",107732925,"0&0 14&0 r13 13&0 r12 12&0 r11 11&0 r10 10&0 r9 9&0 r8 t8 r8 r8 r8 r8 r8 8&0 r7 7&0 r6 t6 r6 r6 6&0 r5 t5 r5 r5 5&0 r4 t4 r4 r4 4&0 r3 t3 r3 r3 3&0 r2 t2 r2 r2 2&0 r1 t1 r1 t1 r1 r1 r1 r1 r1 1&0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 r0 t0 t0"
